# So'z Jangi word-content master (WS-B): word	theme	definition_uz
# Themes: fixed taxonomy in content/taxonomy_uz.txt. Keyed by word so
# content survives tier re-cuts and schedule regeneration.
astar	Kiyim	Kiyimning ichki tomoniga tikiladigan mato.
atala	Oshxona	Un va yogʻdan tayyorlanadigan suyuq taom.
atama	Til	Fanga oid tushunchani ifodalovchi maxsus soʻz.
atlas	Kiyim	Tovlanib turadigan ipak milliy mato.
atrof	Tabiat	Biror narsaning tevaragi, yon-veri.
attor	Kasb-hunar	Mayda-chuyda va xushboʻyliklar sotuvchi kishi.
audit	Savdo	Moliyaviy hisobotlarni tekshirish faoliyati.
avlod	Oila	Bir davrda tugʻilgan kishilar boʻgʻini.
axlat	Uy-roʻzgʻor	Keraksiz boʻlib tashlanadigan chiqindi.
axloq	Tuygʻu	Insonning odob va xulq meʼyorlari.
aygʻir	Hayvonot	Naslga qoʻyiladigan erkak ot.
ayron	Oshxona	Qatiqni suv bilan aralashtirib tayyorlanadigan ichimlik.
aytim	Sanʼat	Xalq ogʻzaki ijodidagi kuylanadigan janr.
ayvon	Qurilish	Uyning old tomonidagi usti yopiq ochiq maydoncha.
badal	Savdo	Biror narsa evaziga toʻlanadigan haq.
badan	Jism	Insonning butun tanasi.
badia	Sanʼat	Yuksak did bilan yaratilgan ijod namunasi.
bagʻir	Jism	Koʻkrak va qorin tomon; mehr ramzi.
bagʻish	Tabiat	Tok va oʻsimlik novdasidagi tugun oraligʻi.
bahor	Vaqt	Qish bilan yoz orasidagi yashil fasl.
bahra	Tuygʻu	Biror narsadan olinadigan rohat, naf.
bakra	Hayvonot	Ikra beruvchi yirik daryo baligʻi.
baliq	Hayvonot	Suvda suzgichlari yordamida yashovchi jonivor.
banan	Oshxona	Issiq oʻlkalarda oʻsadigan uzunchoq sariq meva.
banda	Din	Yaratganning quli sanalgan inson.
bandi	Jamiyat	Ozodlikdan mahrum etilgan tutqun kishi.
barak	Oshxona	Xamirga goʻsht solib tugiladigan qaynatma taom.
barpo	Qurilish	Qurib bunyod etish ishi.
bashar	Oila	Butun insoniyat, odamzod.
baxshi	Sanʼat	Doston kuylab beruvchi xalq ijrochisi.
bayon	Til	Fikrni ogʻzaki yoki yozma ifodalash.
bekat	Jamiyat	Yoʻlovchilar transport kutadigan joy.
belgi	Ilm	Biror narsani bildiruvchi ishora yoki nishona.
bemor	Jism	Sogʻligʻini yoʻqotgan, davolanayotgan kishi.
beshik	Uy-roʻzgʻor	Chaqaloq tebratib uxlatiladigan milliy moslama.
beton	Qurilish	Sement, qum va shagʻaldan qotiriladigan material.
bezak	Sanʼat	Chiroy berish uchun qoʻshiladigan naqsh yoki buyum.
bigiz	Asbob	Teshik ochish uchun uchli qoʻl quroli.
bilak	Jism	Qoʻlning tirsakdan kaftgacha boʻlgan qismi.
bilim	Ilm	Oʻrganish orqali egallangan maʼlumotlar boyligi.
bitik	Tarix	Qadimda toshga yoki teriga tushirilgan yozuv.
bitim	Savdo	Ikki tomon kelishuvi asosidagi shartnoma.
bodom	Oshxona	Qattiq poʻchoqli, magʻzi shirin danakli meva.
bogʻcha	Ilm	Maktabgacha yoshdagi bolalar tarbiyalanadigan muassasa.
bogʻich	Asbob	Biror narsani boylash uchun ip yoki tasma.
bolta	Asbob	Oʻtin yorish uchun dastali keskir qurol.
bomba	Jamiyat	Portlovchi harbiy qurol turi.
bonus	Savdo	Qoʻshimcha ragʻbat sifatida beriladigan mukofot.
boshoq	Tabiat	Don oʻsimligining donli uchki qismi.
bosim	Ilm	Yuzaga taʼsir etuvchi kuch miqdori.
bozor	Savdo	Oldi-sotdi qilinadigan katta savdo maskani.
boʻgʻim	Jism	Suyaklar tutashgan harakatlanuvchi joy.
boʻgʻin	Til	Soʻzning bir nafasda aytiladigan qismi.
boʻgʻiz	Jism	Tomoqning ichki nafas yoʻli qismi.
boʻgʻoz	Tabiat	Ikki dengizni tutashtiruvchi tor suv yoʻli.
boʻlak	Ilm	Butunning ajratilgan bir qismi.
boʻlim	Jamiyat	Muassasaning alohida qismi, tarmogʻi.
boʻlma	Qurilish	Xonaning ajratilgan kichik qismi.
boʻron	Tabiat	Qor yoki qum aralash kuchli shamol.
boʻtqa	Oshxona	Yormadan pishiriladigan quyuq taom.
boʻyin	Jism	Boshni tanaga tutashtiruvchi qism.
boʻyoq	Asbob	Rang berish uchun ishlatiladigan modda.
boʻyra	Uy-roʻzgʻor	Qamishdan toʻqilgan yerga soliladigan toʻshama.
bugun	Vaqt	Ayni shu kechayotgan kun.
buloq	Tabiat	Yerdan qaynab chiqadigan suv koʻzi.
bulut	Tabiat	Osmonda suzuvchi suv bugʻlari uyumi.
buqoq	Jism	Boʻyindagi bezning kattalashish kasalligi.
burda	Oshxona	Nonning bir tishlamlik parchasi.
burga	Hayvonot	Sakrab yuruvchi mayda qon soʻruvchi hasharot.
burgʻi	Asbob	Teshik ochadigan aylanuvchi uchli asbob.
burgʻu	Asbob	Yer qatlamini teshib kiruvchi qurilma.
burov	Asbob	Aylantirib qattiq siqish harakati.
burun	Jism	Yuzning hid sezuvchi aʼzosi.
buyum	Uy-roʻzgʻor	Ishlatish uchun yasalgan narsa.
buzoq	Hayvonot	Sigirning yosh bolasi.
chakka	Jism	Boshning quloq tepasidagi yon qismi.
chalov	Tabiat	Choʻl-dashtda oʻsadigan boshoqli yovvoyi oʻt.
chaman	Tabiat	Gullar ochilib yotgan yam-yashil maydon.
changal	Tabiat	Qalin butalar bosgan oʻtib boʻlmas joy.
changchi	Tabiat	Gulning urugʻlantiruvchi ipsimon qismi.
chanoq	Jism	Tos suyaklari hosil qilgan skelet qismi.
chaqiq	Jamiyat	Birovni yomonlab yetkaziladigan gap.
charos	Oshxona	Yirik qora shirin uzum navi.
charvi	Oshxona	Qorin ichidagi yumshoq yogʻ qatlami.
chashma	Tabiat	Yer ostidan sizib chiqadigan suv manbai.
chayla	Qurilish	Shox-shabbadan qurilgan yengil boshpana.
chayon	Hayvonot	Dumida zahri bor boʻgʻimoyoqli jonivor.
chechak	Jism	Terini toshma bilan qoplaydigan yuqumli kasallik.
chehra	Jism	Kishining yuz koʻrinishi, aft-angori.
chelak	Uy-roʻzgʻor	Suv tashishga moʻljallangan dastali idish.
chetan	Qurilish	Novdalardan toʻqib yasalgan devor yoki toʻsiq.
chigit	Tabiat	Paxta tolasi ichidagi urugʻ doni.
chilim	Uy-roʻzgʻor	Tutunni suvdan oʻtkazib tortiladigan moslama.
chilla	Vaqt	Qish yoki yozning eng qattiq qirq kunligi.
chilon	Oshxona	Mayda mevali jiyda turi.
chinni	Uy-roʻzgʻor	Oq sirli nafis idish materiali.
chinor	Tabiat	Keng bargli, uzoq yashaydigan azim daraxt.
chipta	Savdo	Kirish yoki yoʻl haqini tasdiqlovchi qogʻoz.
chiroq	Uy-roʻzgʻor	Atrofni yorituvchi moslama.
chiroy	Tuygʻu	Koʻzni quvontiruvchi goʻzallik.
chivin	Hayvonot	Qon soʻrib bezovta qiluvchi mayda uchuvchi hasharot.
chiviq	Tabiat	Daraxtning ingichka egiluvchan novdasi.
chiziq	Ilm	Ikki nuqtani tutashtiruvchi iz.
chizma	Ilm	Buyumning oʻlchamli grafik tasviri.
chodir	Uy-roʻzgʻor	Matodan tikilgan koʻchma boshpana.
chodra	Kiyim	Ayollar boshdan yopinadigan keng mato.
cholgʻu	Sanʼat	Kuy chalinadigan musiqa asbobi.
chopar	Kasb-hunar	Xabarni tez yetkazuvchi otliq xizmatchi.
chopiq	Kasb-hunar	Ekin orasidagi begona oʻtni yumshatib tozalash.
chopon	Kiyim	Paxta solib tikilgan milliy ustki kiyim.
chorak	Vaqt	Butunning toʻrtdan bir qismi.
chorsu	Savdo	Toʻrt yoʻl kesishgan joydagi usti yopiq bozor.
chorva	Hayvonot	Goʻsht va sut uchun boqiladigan uy hayvonlari.
choʻchqa	Hayvonot	Serpushtli, semiz tumshuqli uy hayvoni.
choʻloq	Jism	Oyogʻi oqsaydigan kishi.
choʻmich	Uy-roʻzgʻor	Suyuq taom suzadigan uzun dastali idishcha.
choʻpon	Kasb-hunar	Qoʻy-echki boquvchi kishi.
choʻqqi	Tabiat	Togʻning eng baland uchi.
choʻtka	Uy-roʻzgʻor	Qillardan yasalgan tozalash buyumi.
choʻyan	Qurilish	Moʻrt, ogʻir temir qotishmasi.
chuqur	Tabiat	Yer yuzasidagi ichkariga botiq joy.
churra	Jism	Ichki aʼzoning teri ostiga boʻrtib chiqishi.
dahan	Jism	Ogʻiz va uning atrofi.
dalda	Tuygʻu	Ruhlantirish uchun aytiladigan yupatuvchi soʻz.
dalil	Ilm	Fikr toʻgʻriligini isbotlovchi asos.
danak	Oshxona	Meva ichidagi qattiq poʻstli urugʻ.
darak	Til	Biror kimsa yoki narsa haqidagi xabar.
darcha	Qurilish	Devor yoki eshikdagi kichik tuynuk oynasi.
darra	Tarix	Jazolash uchun ishlatilgan qayish qamchi.
daryo	Tabiat	Katta oʻzanda oqadigan yirik suv oqimi.
dasta	Asbob	Buyumning qoʻl bilan ushlanadigan qismi.
davom	Vaqt	Boshlangan ishning toʻxtamay borishi.
davra	Jamiyat	Aylana boʻlib oʻtirgan kishilar guruhi.
daxma	Tarix	Qadimgi qabr usti inshooti.
daydi	Jamiyat	Uy-joysiz izgʻib yuruvchi kimsa.
dengiz	Tabiat	Shoʻr suvli ulkan suv havzasi.
devon	Sanʼat	Shoir sheʼrlari jamlangan qadimiy toʻplam.
devor	Qurilish	Xonalarni ajratuvchi tik toʻsiq.
divan	Uy-roʻzgʻor	Suyanchiqli yumshoq oʻtirgʻich mebeli.
diyor	Tabiat	Kishi tugʻilib oʻsgan oʻlka.
dohiy	Jamiyat	Xalqni yetaklovchi buyuk rahnamo.
doira	Sanʼat	Chertib chalinadigan davra shaklidagi musiqa asbobi.
dolon	Qurilish	Uyning kiraverishidagi uzun yoʻlak.
domla	Kasb-hunar	Dars beruvchi ustoz, muallim.
doska	Ilm	Sinfda yozib koʻrsatiladigan taxta.
dovon	Tabiat	Togʻdan oshib oʻtiladigan yoʻl boʻyni.
dovul	Tabiat	Hamma narsani uchiruvchi qattiq shamol.
doʻkon	Savdo	Mol sotiladigan kichik savdo joyi.
doʻppi	Kiyim	Gul tikilgan milliy bosh kiyimi.
doʻzax	Din	Gunohkorlar jazolanadigan oxirat makoni.
dugoh	Sanʼat	Milliy maqom yoʻllaridan birining nomi.
dukchi	Kasb-hunar	Ip yigiruv uchun moslama yasovchi hunarmand.
dumba	Oshxona	Qoʻyning orqasidagi yogʻli qismi.
dunyo	Tabiat	Butun olam, yer yuzi.
durra	Kiyim	Boshga oʻraladigan yupqa roʻmol.
dutor	Sanʼat	Ikki torli milliy musiqa asbobi.
ehrom	Tarix	Qadimgi Misrdagi ulkan uchburchak maqbara.
ehson	Din	Savob umidida qilinadigan yaxshilik, xayr.
ekran	Asbob	Tasvir aks etadigan yassi yuza.
erkak	Oila	Insonlarning ota jinsiga mansub vakili.
erman	Tabiat	Achchiq hidli dorivor dasht oʻsimligi.
ertak	Sanʼat	Sehrli voqealar hikoya qilinadigan xalq ijodi janri.
eshkak	Asbob	Qayiqni suvda haydovchi kurakcha.
falak	Tabiat	Osmon gumbazi, koinot.
faqih	Din	Shariat ilmini chuqur biluvchi olim.
farang	Tarix	Ovroʻpalik kishining eski nomlanishi.
faraz	Ilm	Hali isbotlanmagan ilmiy taxmin.
fatvo	Din	Diniy masala boʻyicha rasmiy xulosa.
figʻon	Tuygʻu	Alam bilan chekilgan oh-nola.
firqa	Jamiyat	Bir gʻoya atrofida uyushgan siyosiy guruh.
fitna	Jamiyat	Odamlarni bir-biriga qayrash, igʻvo.
fojia	Tuygʻu	Ogʻir oqibatli mudhish voqea.
foyda	Savdo	Faoliyatdan keladigan naf, daromad.
gadoy	Jamiyat	Tilanchilik qilib kun koʻruvchi kimsa.
gajak	Kiyim	Chekkaga tushirilgan jingalak soch tolasi.
garov	Savdo	Majburiyat bajarilishini taʼminlovchi tikilgan narsa.
gavda	Jism	Odamning qomati, tanasi.
gazak	Oshxona	Ichimlik yoniga yeyiladigan yengil yegulik.
gijja	Jism	Ichakda yashovchi parazit chuvalchang.
gilam	Uy-roʻzgʻor	Polga toʻshaladigan qalin toʻqima buyum.
gilos	Oshxona	Mayda danakli qizil shirin meva.
girih	Sanʼat	Sharq meʼmorligidagi geometrik naqsh turi.
goʻdak	Oila	Endigina tugʻilgan yosh bola.
gulcha	Tabiat	Mayda ochilgan gul, chechakcha.
gulob	Oshxona	Gul bargidan tayyorlanadigan xushboʻy suv.
gumon	Tuygʻu	Aniq boʻlmagan shubhali oʻy.
gunoh	Din	Diniy taqiqni buzish, ayb.
guruch	Oshxona	Palov damlanadigan oq don.
guruh	Jamiyat	Umumiy maqsaddagi kishilar toʻplami.
gurung	Jamiyat	Yaqinlar davrasidagi erkin suhbat.
guvoh	Jamiyat	Voqeani oʻz koʻzi bilan koʻrgan kishi.
guzar	Jamiyat	Mahallaning odamlar toʻplanadigan markazi.
gʻalla	Oshxona	Don beruvchi ekinlarning umumiy nomi.
gʻanim	Jamiyat	Dushmanlik qiluvchi raqib.
gʻazab	Tuygʻu	Qattiq jahl, achchiqlanish hissi.
gʻazal	Sanʼat	Ishq mavzusidagi mumtoz sheʼriy janr.
gʻazna	Savdo	Davlat boyliklari saqlanadigan xazina.
gʻazot	Tarix	Din yoʻlidagi qadimiy jang yurishi.
gʻilof	Uy-roʻzgʻor	Buyumni oʻrab turadigan qin yoki jild.
gʻizol	Hayvonot	Nozik oyoqli chiroyli ohu.
gʻorat	Tarix	Bosqin bilan talon-taroj qilish.
gʻovak	Tabiat	Ichi teshik-teshik, boʻsh joyli narsa.
gʻubor	Tabiat	Havoda suzuvchi mayda chang pardasi.
gʻumay	Tabiat	Ekinlarga zarar keltiruvchi begona oʻt.
gʻuncha	Tabiat	Hali ochilmagan gul kurtagi.
gʻurur	Tuygʻu	Oʻz qadrini bilish, iftixor hissi.
hadis	Din	Paygʻambardan qolgan soʻz va koʻrsatmalar.
hadya	Tuygʻu	Hurmat yuzasidan beriladigan sovgʻa.
hafta	Vaqt	Yetti kundan iborat vaqt oʻlchovi.
hakam	Oʻyin	Musobaqada adolatni nazorat qiluvchi shaxs.
hakim	Kasb-hunar	Qadimda tabiblik qilgan donishmand.
hakka	Hayvonot	Oq-qora patli sershovqin qush.
halim	Oshxona	Bugʻdoy va goʻshtdan pishiriladigan quyuq taom.
halqa	Asbob	Aylana shaklidagi tutashgan buyum.
hamla	Jamiyat	Toʻsatdan qilingan hujum harakati.
haram	Tarix	Saroyning ayollar yashaydigan qismi.
hasad	Tuygʻu	Birovning yutugʻini koʻra olmaslik hissi.
hashar	Jamiyat	Koʻpchilik boʻlib beminnat qilinadigan ish.
hassa	Asbob	Tayanib yurish uchun tayoqcha.
havas	Tuygʻu	Birovdagi narsaga intiqlik, qiziqish.
havza	Tabiat	Suv toʻplanadigan hudud yoki idish.
hayit	Din	Roʻza yoki qurbonlik bayrami kuni.
hayot	Tabiat	Tiriklik, yashash jarayoni.
hazar	Tuygʻu	Jirkanib oʻzini tortish hissi.
hazil	Tuygʻu	Kuldirish uchun aytilgan bezarar gap.
hijob	Kiyim	Ayollarning boshni yopuvchi diniy libosi.
hisob	Ilm	Sonlar ustida bajariladigan amallar.
hissa	Savdo	Umumiy ishdagi ulush, qism.
hiyla	Tuygʻu	Aldash uchun oʻylangan ayyorlik.
hofiz	Sanʼat	Qoʻshiqni mahorat bilan ijro etuvchi xonanda.
hojat	Tuygʻu	Zarurat, ehtiyoj.
hokim	Jamiyat	Hududni boshqaruvchi mansabdor.
holat	Tuygʻu	Muayyan paytdagi vaziyat, ahvol.
holva	Oshxona	Un, yogʻ va shakardan tayyorlanadigan shirinlik.
homiy	Jamiyat	Moddiy va maʼnaviy qoʻllab-quvvatlovchi shaxs.
hosil	Tabiat	Ekin-tikindan olinadigan mahsulot.
hovli	Qurilish	Uy atrofidagi devor bilan oʻralgan maydon.
hovuch	Jism	Ikki kaftni birlashtirganda sigʻadigan miqdor.
hovuz	Tabiat	Suv toʻplab qoʻyiladigan sunʼiy koʻlcha.
hoʻkiz	Hayvonot	Qoʻsh haydashda ishlatiladigan erkak qoramol.
hudud	Jamiyat	Chegaralari belgilangan yer maydoni.
hujra	Qurilish	Madrasa yoki uydagi kichik xona.
hujum	Jamiyat	Dushman ustiga otilish harakati.
hunar	Kasb-hunar	Qoʻl mehnatiga asoslangan kasb mahorati.
huquq	Jamiyat	Qonun bilan berilgan erk va imkoniyatlar.
huzur	Tuygʻu	Orom bagʻishlovchi rohat hissi.
ibora	Til	Koʻchma maʼnoli turgʻun soʻz birikmasi.
ibrat	Tuygʻu	Boshqalarga oʻrnak boʻladigan saboq.
idora	Jamiyat	Ish yuritiladigan muassasa binosi.
idrok	Tuygʻu	Voqelikni anglash qobiliyati.
iffat	Tuygʻu	Pokiza nomus, hayo.
ifoda	Til	Fikr yoki tuygʻuning tashqi koʻrinishi.
iftor	Din	Roʻzaning kun botardagi ochilishi.
ihota	Qurilish	Atrofni oʻrab turuvchi toʻsiq.
ijara	Savdo	Mulkni vaqtincha haq evaziga olish.
ijoza	Jamiyat	Biror ishga berilgan ruxsat.
ildiz	Tabiat	Oʻsimlikning yer ostidagi oziqlantiruvchi qismi.
ilgak	Asbob	Narsalarni osish uchun qayrilgan uchli moslama.
ilhom	Tuygʻu	Ijodga undovchi koʻtarinki ruh.
illat	Jism	Yashirin nuqson yoki xastalik.
ilmoq	Asbob	Ip yoki arqondagi sirtmoq tugun.
ilova	Ilm	Asosiy narsaga qoʻshimcha qilingan qism.
imkon	Tuygʻu	Biror ishni bajarish uchun sharoit.
inkor	Til	Rad etish, tan olmaslik.
insof	Tuygʻu	Adolat va vijdon bilan ish tutish.
inson	Oila	Aql-idrokli tirik mavjudot, odam.
iqlim	Tabiat	Hududning koʻp yillik ob-havo tartibi.
iqror	Til	Aybni yoki haqiqatni tan olish.
irfon	Din	Ilohiy haqiqatni bilishga intiluvchi taʼlimot.
irmoq	Tabiat	Katta oqimga quyiluvchi kichik suv tarmogʻi.
iroda	Tuygʻu	Maqsad sari qatʼiyat kuchi.
iroqi	Kiyim	Mayda chok bilan tikiladigan kashta turi.
irqchi	Jamiyat	Kishilarni kelib chiqishiga qarab kamsituvchi.
isbot	Ilm	Haqiqatni tasdiqlovchi dalil keltirish.
ishbay	Savdo	Bajarilgan ish miqdoriga qarab haq toʻlash.
ishgʻol	Jamiyat	Hududni kuch bilan egallash.
ishlov	Kasb-hunar	Xomashyoga berilgan mehnat jarayoni.
ishonch	Tuygʻu	Birovga yoki narsaga qatʼiy suyanish hissi.
ishora	Til	Imo yoki belgi bilan bildirish.
ishqor	Ilm	Kislotani neytrallovchi kimyoviy modda.
ishrat	Tuygʻu	Ayshli, maishatli hayot kechirish.
isloh	Jamiyat	Tuzatish, yaxshilash uchun oʻzgartirish.
isrof	Savdo	Narsani behuda sarflash.
istak	Tuygʻu	Koʻngilning biror narsani tilashi.
isyon	Jamiyat	Hokimiyatga qarshi ochiq qoʻzgʻolon.
itoat	Tuygʻu	Buyruqqa soʻzsiz boʻysunish.
ixlos	Tuygʻu	Chin dildan berilgan sadoqat.
iymon	Din	Qalbdagi chuqur diniy eʼtiqod.
izdosh	Jamiyat	Birovning yoʻlini davom ettiruvchi kishi.
izhor	Til	Ichki tuygʻuni oshkor qilish.
izzat	Tuygʻu	Hurmat-eʼtibor koʻrsatish.
jabha	Jamiyat	Urush harakatlari boradigan old chiziq.
jadid	Tarix	Oʻtgan asr boshidagi maʼrifatparvarlik harakati vakili.
jahon	Tabiat	Butun yer yuzi, olam.
jamoa	Jamiyat	Birgalikda faoliyat yurituvchi kishilar uyushmasi.
janda	Kiyim	Yamoq bosilgan eski toʻn.
jangal	Tabiat	Qalin oʻsgan yovvoyi oʻrmonzor.
jangchi	Jamiyat	Urushda qatnashuvchi kurashchi.
janob	Jamiyat	Erkaklarga hurmat bilan murojaat soʻzi.
jarchi	Tarix	Xabarni baland ovozda eʼlon qiluvchi kishi.
jasad	Jism	Jon uzilgan tana.
javob	Til	Savolga qaytariladigan soʻz.
javon	Uy-roʻzgʻor	Narsalar teriladigan tokchali mebel.
jayra	Hayvonot	Tanasi uzun ignalar bilan qoplangan kemiruvchi.
jigar	Jism	Qonni tozalovchi yirik ichki aʼzo.
jihat	Ilm	Narsaning bir tomoni, qirrasi.
jihod	Din	Eʼtiqod yoʻlidagi kurash tushunchasi.
jihoz	Uy-roʻzgʻor	Xonani butlovchi asbob-anjomlar.
jilgʻa	Tabiat	Togʻdan oqib tushuvchi kichik suvloq.
jilov	Asbob	Otni boshqaradigan yugan tasmasi.
jinni	Jism	Aqlini yoʻqotgan, telba kishi.
jirgʻa	Tarix	Oqsoqollarning maslahat yigʻini.
jirov	Sanʼat	Doston kuylovchi elat ijrochisi.
jiyak	Kiyim	Kiyim chetiga tutiladigan bezakli tasma.
jiyan	Oila	Aka-uka yoki opa-singilning farzandi.
jiyda	Oshxona	Kumushrang bargli daraxtning unli shirin mevasi.
jizya	Tarix	Qadimda boshqa dindagilardan olingan soliq.
jizza	Oshxona	Qovurilgan yogʻ qoldigʻidan taom.
jonon	Tuygʻu	Suyukli goʻzal yor.
josus	Jamiyat	Maxfiy maʼlumot toʻplovchi aygʻoqchi.
joʻyak	Tabiat	Ekin qatorlari orasidagi suv yoʻlagi.
jumla	Til	Tugallangan fikrni bildiruvchi gap.
kabob	Oshxona	Sixga terib choʻgʻda pishiriladigan goʻsht.
kafan	Din	Marhum oʻraladigan oq mato.
kafil	Savdo	Birovning majburiyatiga zomin boʻluvchi shaxs.
kakao	Oshxona	Shokolad olinadigan don va undan ichimlik.
kakku	Hayvonot	Oʻz nomini takrorlab sayrovchi qush.
kalit	Uy-roʻzgʻor	Qulfni ochish uchun buyum.
kalla	Jism	Bosh, miya joylashgan aʼzo.
kalom	Din	Soʻz, ilohiy nutq.
kamar	Kiyim	Belga taqiladigan tasma.
kamon	Asbob	Oʻq uzatadigan egik sopli qadimiy qurol.
kanal	Tabiat	Suv oqizish uchun qazilgan sunʼiy oʻzan.
kanda	Tuygʻu	Odatni uzib qoʻyish, toʻxtatish.
kanop	Tabiat	Tolasi arqon boʻladigan ekin.
karam	Oshxona	Barglari zich oʻralgan sabzavot.
karra	Ilm	Necha marta ekanini bildiruvchi hisob soʻzi.
karta	Ilm	Yer yuzasining kichraytirilgan tasviri.
kashta	Kiyim	Mato ustiga ipda tikilgan naqsh.
kassa	Savdo	Pul qabul qilinadigan joy yoki qutisi.
katak	Uy-roʻzgʻor	Parranda saqlanadigan kichik qafas uycha.
kavak	Tabiat	Ichi oʻyilgan boʻsh joy, kovak.
kavush	Kiyim	Milliy charm oyoq kiyimi.
kechuv	Tabiat	Daryodan oʻtiladigan sayoz joy.
kelin	Oila	Yangi turmushga chiqqan juvon.
kengash	Jamiyat	Maslahat uchun toʻplangan yigʻin.
kepak	Oshxona	Un elaganda qoladigan don poʻsti.
kesak	Tabiat	Qotgan loy boʻlagi.
kesim	Til	Gapning ish-harakatni bildiruvchi boʻlagi.
kesma	Ilm	Biror narsaning kesilgan boʻlagi yoki chizigʻi.
kigiz	Uy-roʻzgʻor	Jundan bosib tayyorlanadigan qalin toʻshama.
kimsa	Oila	Nomaʼlum bir odam, shaxs.
kimyo	Ilm	Moddalar tarkibini oʻrganuvchi fan.
kirim	Savdo	Kelib tushgan pul yoki daromad.
kirpi	Hayvonot	Tanasi mayda ignali kichik sutemizuvchi.
kishan	Asbob	Oyoq-qoʻlga uriladigan temir bogʻich.
kitob	Ilm	Varaqlari muqovalangan bosma asar.
kiyik	Hayvonot	Choʻl va togʻda yashovchi chopqir tuyoqli jonivor.
kiyim	Kiyim	Tanani yopish uchun libos.
kofir	Din	Eʼtiqodni tan olmaydigan kimsa.
kohin	Tarix	Qadimgi ibodatxona xizmatchisi.
kokil	Jism	Peshonaga tushirib qoʻyilgan soch tutami.
kokos	Oshxona	Palma daraxtining qattiq poʻstli yirik mevasi.
konchi	Kasb-hunar	Yer ostidan maʼdan qazib oluvchi ishchi.
koriz	Tarix	Yer ostidan suv keltiruvchi qadimiy inshoot.
koshin	Qurilish	Naqshli sirlangan pardoz gʻishti.
kosib	Kasb-hunar	Oyoq kiyim tikuvchi hunarmand.
kotib	Kasb-hunar	Yozuv-chizuv ishlarini yurituvchi xodim.
kovak	Tabiat	Daraxt yoki devordagi oʻyiq boʻshliq.
koʻchat	Tabiat	Oʻtqazish uchun tayyorlangan yosh nihol.
koʻkat	Oshxona	Ovqatga qoʻshiladigan yashil sabzavotlar.
koʻlam	Ilm	Ish yoki hodisaning qamrov darajasi.
koʻmak	Tuygʻu	Qiynalganga koʻrsatiladigan yordam.
koʻmik	Jism	Suyak ichidagi yumshoq toʻqima.
koʻmir	Tabiat	Yer ostidan qazib olinadigan qora yoqilgʻi.
koʻngil	Tuygʻu	Insonning his-tuygʻular manbai, qalbi.
koʻpik	Tabiat	Suyuqlik yuzasidagi mayda pufakchalar uyumi.
