avlod	1	2190	Oila	Bir davrda tugʻilgan kishilar boʻgʻini.
axlat	2	235	Uy-roʻzgʻor	Keraksiz boʻlib tashlanadigan chiqindi.
axloq	1	693	Tuygʻu	Insonning odob va xulq meʼyorlari.
aygʻir	3	30	Hayvonot	Naslga qoʻyiladigan erkak ot.
ayron	3	33	Oshxona	Qatiqni suv bilan aralashtirib tayyorlanadigan ichimlik.
aytim	3	33	Sanʼat	Xalq ogʻzaki ijodidagi kuylanadigan janr.
ayvon	1	711	Qurilish	Uyning old tomonidagi usti yopiq ochiq maydoncha.
badal	2	93	Savdo	Biror narsa evaziga toʻlanadigan haq.
badan	2	130	Jism	Insonning butun tanasi.
badia	3	35	Sanʼat	Yuksak did bilan yaratilgan ijod namunasi.
bagʻir	3	28	Jism	Koʻkrak va qorin tomon; mehr ramzi.
bagʻish	3	18	Tabiat	Tok va oʻsimlik novdasidagi tugun oraligʻi.
bahor	1	1457	Vaqt	Qish bilan yoz orasidagi yashil fasl.
bahra	3	27	Tuygʻu	Biror narsadan olinadigan rohat, naf.
bakra	3	31	Hayvonot	Ikra beruvchi yirik daryo baligʻi.
baliq	1	4556	Hayvonot	Suvda suzgichlari yordamida yashovchi jonivor.
banan	1	461	Oshxona	Issiq oʻlkalarda oʻsadigan uzunchoq sariq meva.
banda	2	180	Din	Yaratganning quli sanalgan inson.
bandi	1	406	Jamiyat	Ozodlikdan mahrum etilgan tutqun kishi.
barak	2	296	Oshxona	Xamirga goʻsht solib tugiladigan qaynatma taom.
barpo	1	3852	Qurilish	Qurib bunyod etish ishi.
bashar	3	71	Oila	Butun insoniyat, odamzod.
baxshi	1	456	Sanʼat	Doston kuylab beruvchi xalq ijrochisi.
bayon	1	1990	Til	Fikrni ogʻzaki yoki yozma ifodalash.
bekat	2	220	Jamiyat	Yoʻlovchilar transport kutadigan joy.
belgi	1	1445	Ilm	Biror narsani bildiruvchi ishora yoki nishona.
bemor	1	1524	Jism	Sogʻligʻini yoʻqotgan, davolanayotgan kishi.
beshik	2	104	Uy-roʻzgʻor	Chaqaloq tebratib uxlatiladigan milliy moslama.
beton	1	830	Qurilish	Sement, qum va shagʻaldan qotiriladigan material.
bezak	1	1319	Sanʼat	Chiroy berish uchun qoʻshiladigan naqsh yoki buyum.
bigiz	3	44	Asbob	Teshik ochish uchun uchli qoʻl quroli.
bilak	2	204	Jism	Qoʻlning tirsakdan kaftgacha boʻlgan qismi.
bilim	1	3133	Ilm	Oʻrganish orqali egallangan maʼlumotlar boyligi.
bitik	2	135	Tarix	Qadimda toshga yoki teriga tushirilgan yozuv.
bitim	1	1213	Savdo	Ikki tomon kelishuvi asosidagi shartnoma.
bodom	1	395	Oshxona	Qattiq poʻchoqli, magʻzi shirin danakli meva.
bogʻcha	2	170	Ilm	Maktabgacha yoshdagi bolalar tarbiyalanadigan muassasa.
bogʻich	3	26	Asbob	Biror narsani boylash uchun ip yoki tasma.
bolta	2	191	Asbob	Oʻtin yorish uchun dastali keskir qurol.
bomba	1	502	Jamiyat	Portlovchi harbiy qurol turi.
bonus	2	178	Savdo	Qoʻshimcha ragʻbat sifatida beriladigan mukofot.
boshoq	2	91	Tabiat	Don oʻsimligining donli uchki qismi.
bosim	1	2021	Ilm	Yuzaga taʼsir etuvchi kuch miqdori.
bozor	1	3305	Savdo	Oldi-sotdi qilinadigan katta savdo maskani.
boʻgʻim	1	376	Jism	Suyaklar tutashgan harakatlanuvchi joy.
boʻgʻin	2	312	Til	Soʻzning bir nafasda aytiladigan qismi.
boʻgʻiz	3	42	Jism	Tomoqning ichki nafas yoʻli qismi.
boʻgʻoz	2	132	Tabiat	Ikki dengizni tutashtiruvchi tor suv yoʻli.
boʻlak	1	354	Ilm	Butunning ajratilgan bir qismi.
boʻlim	1	2951	Jamiyat	Muassasaning alohida qismi, tarmogʻi.
boʻlma	3	56	Qurilish	Xonaning ajratilgan kichik qismi.
boʻron	1	487	Tabiat	Qor yoki qum aralash kuchli shamol.
boʻtqa	2	118	Oshxona	Yormadan pishiriladigan quyuq taom.
boʻyin	1	800	Jism	Boshni tanaga tutashtiruvchi qism.
boʻyoq	1	678	Asbob	Rang berish uchun ishlatiladigan modda.
boʻyra	3	73	Uy-roʻzgʻor	Qamishdan toʻqilgan yerga soliladigan toʻshama.
bugun	1	823	Vaqt	Ayni shu kechayotgan kun.
buloq	1	637	Tabiat	Yerdan qaynab chiqadigan suv koʻzi.
bulut	1	356	Tabiat	Osmonda suzuvchi suv bugʻlari uyumi.
buqoq	3	50	Jism	Boʻyindagi bezning kattalashish kasalligi.
burda	3	38	Oshxona	Nonning bir tishlamlik parchasi.
burga	2	112	Hayvonot	Sakrab yuruvchi mayda qon soʻruvchi hasharot.
burgʻi	2	115	Asbob	Teshik ochadigan aylanuvchi uchli asbob.
burgʻu	3	15	Asbob	Yer qatlamini teshib kiruvchi qurilma.
burov	3	20	Asbob	Aylantirib qattiq siqish harakati.
burun	1	951	Jism	Yuzning hid sezuvchi aʼzosi.
buyum	1	390	Uy-roʻzgʻor	Ishlatish uchun yasalgan narsa.
buzoq	2	139	Hayvonot	Sigirning yosh bolasi.
chakka	2	97	Jism	Boshning quloq tepasidagi yon qismi.
chalov	3	49	Tabiat	Choʻl-dashtda oʻsadigan boshoqli yovvoyi oʻt.
chaman	2	76	Tabiat	Gullar ochilib yotgan yam-yashil maydon.
changal	3	24	Tabiat	Qalin butalar bosgan oʻtib boʻlmas joy.
changchi	3	71	Tabiat	Gulning urugʻlantiruvchi ipsimon qismi.
chanoq	2	215	Jism	Tos suyaklari hosil qilgan skelet qismi.
chaqiq	3	66	Jamiyat	Birovni yomonlab yetkaziladigan gap.
charos	3	33	Oshxona	Yirik qora shirin uzum navi.
charvi	3	36	Oshxona	Qorin ichidagi yumshoq yogʻ qatlami.
chashma	2	138	Tabiat	Yer ostidan sizib chiqadigan suv manbai.
chayla	3	33	Qurilish	Shox-shabbadan qurilgan yengil boshpana.
chayon	2	178	Hayvonot	Dumida zahri bor boʻgʻimoyoqli jonivor.
chechak	2	216	Jism	Terini toshma bilan qoplaydigan yuqumli kasallik.
chehra	3	24	Jism	Kishining yuz koʻrinishi, aft-angori.
chelak	2	98	Uy-roʻzgʻor	Suv tashishga moʻljallangan dastali idish.
chetan	3	54	Qurilish	Novdalardan toʻqib yasalgan devor yoki toʻsiq.
chigit	2	150	Tabiat	Paxta tolasi ichidagi urugʻ doni.
chilim	3	15	Uy-roʻzgʻor	Tutunni suvdan oʻtkazib tortiladigan moslama.
chilla	2	95	Vaqt	Qish yoki yozning eng qattiq qirq kunligi.
chilon	3	23	Oshxona	Mayda mevali jiyda turi.
chinni	1	592	Uy-roʻzgʻor	Oq sirli nafis idish materiali.
chinor	1	379	Tabiat	Keng bargli, uzoq yashaydigan azim daraxt.
chipta	2	233	Savdo	Kirish yoki yoʻl haqini tasdiqlovchi qogʻoz.
chiroq	2	300	Uy-roʻzgʻor	Atrofni yorituvchi moslama.
chiroy	3	23	Tuygʻu	Koʻzni quvontiruvchi goʻzallik.
chivin	2	76	Hayvonot	Qon soʻrib bezovta qiluvchi mayda uchuvchi hasharot.
chiviq	3	15	Tabiat	Daraxtning ingichka egiluvchan novdasi.
chiziq	1	1769	Ilm	Ikki nuqtani tutashtiruvchi iz.
chizma	2	197	Ilm	Buyumning oʻlchamli grafik tasviri.
chodir	2	208	Uy-roʻzgʻor	Matodan tikilgan koʻchma boshpana.
chodra	3	15	Kiyim	Ayollar boshdan yopinadigan keng mato.
cholgʻu	1	1497	Sanʼat	Kuy chalinadigan musiqa asbobi.
chopar	3	40	Kasb-hunar	Xabarni tez yetkazuvchi otliq xizmatchi.
chopiq	3	59	Kasb-hunar	Ekin orasidagi begona oʻtni yumshatib tozalash.
chopon	3	70	Kiyim	Paxta solib tikilgan milliy ustki kiyim.
chorak	1	4089	Vaqt	Butunning toʻrtdan bir qismi.
chorsu	2	224	Savdo	Toʻrt yoʻl kesishgan joydagi usti yopiq bozor.
chorva	1	803	Hayvonot	Goʻsht va sut uchun boqiladigan uy hayvonlari.
choʻchqa	1	1198	Hayvonot	Serpushtli, semiz tumshuqli uy hayvoni.
choʻloq	3	43	Jism	Oyogʻi oqsaydigan kishi.
choʻmich	3	26	Uy-roʻzgʻor	Suyuq taom suzadigan uzun dastali idishcha.
choʻpon	1	783	Kasb-hunar	Qoʻy-echki boquvchi kishi.
choʻqqi	1	554	Tabiat	Togʻning eng baland uchi.
choʻtka	3	73	Uy-roʻzgʻor	Qillardan yasalgan tozalash buyumi.
choʻyan	2	296	Qurilish	Moʻrt, ogʻir temir qotishmasi.
chuqur	1	4418	Tabiat	Yer yuzasidagi ichkariga botiq joy.
churra	3	53	Jism	Ichki aʼzoning teri ostiga boʻrtib chiqishi.
dahan	3	16	Jism	Ogʻiz va uning atrofi.
dalda	3	51	Tuygʻu	Ruhlantirish uchun aytiladigan yupatuvchi soʻz.
dalil	1	694	Ilm	Fikr toʻgʻriligini isbotlovchi asos.
danak	3	38	Oshxona	Meva ichidagi qattiq poʻstli urugʻ.
darak	2	257	Til	Biror kimsa yoki narsa haqidagi xabar.
darcha	3	54	Qurilish	Devor yoki eshikdagi kichik tuynuk oynasi.
darra	3	30	Tarix	Jazolash uchun ishlatilgan qayish qamchi.
daryo	1	6750	Tabiat	Katta oʻzanda oqadigan yirik suv oqimi.
dasta	2	124	Asbob	Buyumning qoʻl bilan ushlanadigan qismi.
davom	1	22604	Vaqt	Boshlangan ishning toʻxtamay borishi.
davra	1	640	Jamiyat	Aylana boʻlib oʻtirgan kishilar guruhi.
daxma	2	118	Tarix	Qadimgi qabr usti inshooti.
daydi	2	74	Jamiyat	Uy-joysiz izgʻib yuruvchi kimsa.
dengiz	1	48978	Tabiat	Shoʻr suvli ulkan suv havzasi.
devon	1	715	Sanʼat	Shoir sheʼrlari jamlangan qadimiy toʻplam.
devor	1	2103	Qurilish	Xonalarni ajratuvchi tik toʻsiq.
divan	2	76	Uy-roʻzgʻor	Suyanchiqli yumshoq oʻtirgʻich mebeli.
diyor	2	222	Tabiat	Kishi tugʻilib oʻsgan oʻlka.
dohiy	3	37	Jamiyat	Xalqni yetaklovchi buyuk rahnamo.
doira	1	1064	Sanʼat	Chertib chalinadigan davra shaklidagi musiqa asbobi.
dolon	3	15	Qurilish	Uyning kiraverishidagi uzun yoʻlak.
domla	1	338	Kasb-hunar	Dars beruvchi ustoz, muallim.
doska	2	88	Ilm	Sinfda yozib koʻrsatiladigan taxta.
dovon	2	157	Tabiat	Togʻdan oshib oʻtiladigan yoʻl boʻyni.
dovul	2	123	Tabiat	Hamma narsani uchiruvchi qattiq shamol.
doʻkon	1	740	Savdo	Mol sotiladigan kichik savdo joyi.
doʻppi	2	87	Kiyim	Gul tikilgan milliy bosh kiyimi.
doʻzax	2	133	Din	Gunohkorlar jazolanadigan oxirat makoni.
dugoh	2	117	Sanʼat	Milliy maqom yoʻllaridan birining nomi.
dukchi	3	36	Kasb-hunar	Ip yigiruv uchun moslama yasovchi hunarmand.
dumba	2	96	Oshxona	Qoʻyning orqasidagi yogʻli qismi.
dunyo	1	7721	Tabiat	Butun olam, yer yuzi.
durra	3	27	Kiyim	Boshga oʻraladigan yupqa roʻmol.
dutor	2	220	Sanʼat	Ikki torli milliy musiqa asbobi.
ehrom	2	79	Tarix	Qadimgi Misrdagi ulkan uchburchak maqbara.
ehson	2	181	Din	Savob umidida qilinadigan yaxshilik, xayr.
ekran	1	901	Asbob	Tasvir aks etadigan yassi yuza.
erkak	1	8576	Oila	Insonlarning ota jinsiga mansub vakili.
erman	3	22	Tabiat	Achchiq hidli dorivor dasht oʻsimligi.
ertak	1	724	Sanʼat	Sehrli voqealar hikoya qilinadigan xalq ijodi janri.
eshkak	1	536	Asbob	Qayiqni suvda haydovchi kurakcha.
falak	3	71	Tabiat	Osmon gumbazi, koinot.
faqih	1	887	Din	Shariat ilmini chuqur biluvchi olim.
farang	3	54	Tarix	Ovroʻpalik kishining eski nomlanishi.
faraz	2	290	Ilm	Hali isbotlanmagan ilmiy taxmin.
fatvo	2	244	Din	Diniy masala boʻyicha rasmiy xulosa.
figʻon	3	34	Tuygʻu	Alam bilan chekilgan oh-nola.
firqa	2	76	Jamiyat	Bir gʻoya atrofida uyushgan siyosiy guruh.
fitna	1	714	Jamiyat	Odamlarni bir-biriga qayrash, igʻvo.
fojia	2	178	Tuygʻu	Ogʻir oqibatli mudhish voqea.
foyda	1	1818	Savdo	Faoliyatdan keladigan naf, daromad.
gadoy	3	15	Jamiyat	Tilanchilik qilib kun koʻruvchi kimsa.
gajak	3	33	Kiyim	Chekkaga tushirilgan jingalak soch tolasi.
garov	1	382	Savdo	Majburiyat bajarilishini taʼminlovchi tikilgan narsa.
gavda	2	190	Jism	Odamning qomati, tanasi.
gazak	2	119	Oshxona	Ichimlik yoniga yeyiladigan yengil yegulik.
gijja	3	60	Jism	Ichakda yashovchi parazit chuvalchang.
gilam	1	752	Uy-roʻzgʻor	Polga toʻshaladigan qalin toʻqima buyum.
gilos	2	299	Oshxona	Mayda danakli qizil shirin meva.
girih	2	108	Sanʼat	Sharq meʼmorligidagi geometrik naqsh turi.
goʻdak	2	142	Oila	Endigina tugʻilgan yosh bola.
gulcha	3	23	Tabiat	Mayda ochilgan gul, chechakcha.
gulob	3	17	Oshxona	Gul bargidan tayyorlanadigan xushboʻy suv.
gumon	1	666	Tuygʻu	Aniq boʻlmagan shubhali oʻy.
gunoh	2	198	Din	Diniy taqiqni buzish, ayb.
guruch	1	1465	Oshxona	Palov damlanadigan oq don.
guruh	1	12551	Jamiyat	Umumiy maqsaddagi kishilar toʻplami.
gurung	3	27	Jamiyat	Yaqinlar davrasidagi erkin suhbat.
guvoh	1	615	Jamiyat	Voqeani oʻz koʻzi bilan koʻrgan kishi.
guzar	2	181	Jamiyat	Mahallaning odamlar toʻplanadigan markazi.
gʻalla	1	645	Oshxona	Don beruvchi ekinlarning umumiy nomi.
gʻanim	3	30	Jamiyat	Dushmanlik qiluvchi raqib.
gʻazab	2	281	Tuygʻu	Qattiq jahl, achchiqlanish hissi.
gʻazal	1	420	Sanʼat	Ishq mavzusidagi mumtoz sheʼriy janr.
gʻazna	2	250	Savdo	Davlat boyliklari saqlanadigan xazina.
gʻazot	3	17	Tarix	Din yoʻlidagi qadimiy jang yurishi.
gʻilof	3	37	Uy-roʻzgʻor	Buyumni oʻrab turadigan qin yoki jild.
gʻizol	3	15	Hayvonot	Nozik oyoqli chiroyli ohu.
gʻorat	3	19	Tarix	Bosqin bilan talon-taroj qilish.
gʻovak	2	202	Tabiat	Ichi teshik-teshik, boʻsh joyli narsa.
gʻubor	3	41	Tabiat	Havoda suzuvchi mayda chang pardasi.
gʻumay	3	25	Tabiat	Ekinlarga zarar keltiruvchi begona oʻt.
gʻuncha	3	67	Tabiat	Hali ochilmagan gul kurtagi.
gʻurur	2	135	Tuygʻu	Oʻz qadrini bilish, iftixor hissi.
hadis	1	3129	Din	Paygʻambardan qolgan soʻz va koʻrsatmalar.
hadya	1	341	Tuygʻu	Hurmat yuzasidan beriladigan sovgʻa.
hafta	1	3308	Vaqt	Yetti kundan iborat vaqt oʻlchovi.
hakam	1	1019	Oʻyin	Musobaqada adolatni nazorat qiluvchi shaxs.
hakim	1	672	Kasb-hunar	Qadimda tabiblik qilgan donishmand.
hakka	3	46	Hayvonot	Oq-qora patli sershovqin qush.
halim	2	172	Oshxona	Bugʻdoy va goʻshtdan pishiriladigan quyuq taom.
halqa	1	1471	Asbob	Aylana shaklidagi tutashgan buyum.
hamla	3	32	Jamiyat	Toʻsatdan qilingan hujum harakati.
haram	2	258	Tarix	Saroyning ayollar yashaydigan qismi.
hasad	2	169	Tuygʻu	Birovning yutugʻini koʻra olmaslik hissi.
hashar	2	299	Jamiyat	Koʻpchilik boʻlib beminnat qilinadigan ish.
hassa	3	67	Asbob	Tayanib yurish uchun tayoqcha.
havas	2	106	Tuygʻu	Birovdagi narsaga intiqlik, qiziqish.
havza	2	148	Tabiat	Suv toʻplanadigan hudud yoki idish.
hayit	2	226	Din	Roʻza yoki qurbonlik bayrami kuni.
hayot	1	7760	Tabiat	Tiriklik, yashash jarayoni.
hazar	3	67	Tuygʻu	Jirkanib oʻzini tortish hissi.
hazil	1	452	Tuygʻu	Kuldirish uchun aytilgan bezarar gap.
hijob	2	292	Kiyim	Ayollarning boshni yopuvchi diniy libosi.
hisob	1	1348	Ilm	Sonlar ustida bajariladigan amallar.
hissa	1	4233	Savdo	Umumiy ishdagi ulush, qism.
hiyla	2	112	Tuygʻu	Aldash uchun oʻylangan ayyorlik.
hofiz	1	906	Sanʼat	Qoʻshiqni mahorat bilan ijro etuvchi xonanda.
hojat	3	74	Tuygʻu	Zarurat, ehtiyoj.
hokim	1	997	Jamiyat	Hududni boshqaruvchi mansabdor.
holat	1	3984	Tuygʻu	Muayyan paytdagi vaziyat, ahvol.
holva	3	47	Oshxona	Un, yogʻ va shakardan tayyorlanadigan shirinlik.
homiy	2	244	Jamiyat	Moddiy va maʼnaviy qoʻllab-quvvatlovchi shaxs.
hosil	1	17506	Tabiat	Ekin-tikindan olinadigan mahsulot.
hovli	1	989	Qurilish	Uy atrofidagi devor bilan oʻralgan maydon.
hovuch	3	44	Jism	Ikki kaftni birlashtirganda sigʻadigan miqdor.
hovuz	1	589	Tabiat	Suv toʻplab qoʻyiladigan sunʼiy koʻlcha.
hoʻkiz	2	139	Hayvonot	Qoʻsh haydashda ishlatiladigan erkak qoramol.
hudud	1	6134	Jamiyat	Chegaralari belgilangan yer maydoni.
hujra	2	212	Qurilish	Madrasa yoki uydagi kichik xona.
hujum	1	5979	Jamiyat	Dushman ustiga otilish harakati.
hunar	2	242	Kasb-hunar	Qoʻl mehnatiga asoslangan kasb mahorati.
huquq	1	8986	Jamiyat	Qonun bilan berilgan erk va imkoniyatlar.
huzur	2	231	Tuygʻu	Orom bagʻishlovchi rohat hissi.
ibora	1	413	Til	Koʻchma maʼnoli turgʻun soʻz birikmasi.
ibrat	2	185	Tuygʻu	Boshqalarga oʻrnak boʻladigan saboq.
idora	1	561	Jamiyat	Ish yuritiladigan muassasa binosi.
idrok	1	1023	Tuygʻu	Voqelikni anglash qobiliyati.
iffat	3	45	Tuygʻu	Pokiza nomus, hayo.
ifoda	1	1097	Til	Fikr yoki tuygʻuning tashqi koʻrinishi.
iftor	3	54	Din	Roʻzaning kun botardagi ochilishi.
ihota	2	84	Qurilish	Atrofni oʻrab turuvchi toʻsiq.
ijara	1	3868	Savdo	Mulkni vaqtincha haq evaziga olish.
ijoza	3	26	Jamiyat	Biror ishga berilgan ruxsat.
ildiz	1	1169	Tabiat	Oʻsimlikning yer ostidagi oziqlantiruvchi qismi.
ilgak	2	77	Asbob	Narsalarni osish uchun qayrilgan uchli moslama.
ilhom	1	1243	Tuygʻu	Ijodga undovchi koʻtarinki ruh.
illat	3	32	Jism	Yashirin nuqson yoki xastalik.
ilmoq	3	38	Asbob	Ip yoki arqondagi sirtmoq tugun.
ilova	1	724	Ilm	Asosiy narsaga qoʻshimcha qilingan qism.
imkon	1	4572	Tuygʻu	Biror ishni bajarish uchun sharoit.
inkor	1	1101	Til	Rad etish, tan olmaslik.
insof	3	31	Tuygʻu	Adolat va vijdon bilan ish tutish.
inson	1	9894	Oila	Aql-idrokli tirik mavjudot, odam.
iqlim	1	3392	Tabiat	Hududning koʻp yillik ob-havo tartibi.
iqror	2	106	Til	Aybni yoki haqiqatni tan olish.
irfon	3	68	Din	Ilohiy haqiqatni bilishga intiluvchi taʼlimot.
irmoq	2	115	Tabiat	Katta oqimga quyiluvchi kichik suv tarmogʻi.
iroda	2	279	Tuygʻu	Maqsad sari qatʼiyat kuchi.
iroqi	2	79	Kiyim	Mayda chok bilan tikiladigan kashta turi.
irqchi	3	41	Jamiyat	Kishilarni kelib chiqishiga qarab kamsituvchi.
isbot	2	228	Ilm	Haqiqatni tasdiqlovchi dalil keltirish.
ishbay	3	15	Savdo	Bajarilgan ish miqdoriga qarab haq toʻlash.
ishgʻol	1	1024	Jamiyat	Hududni kuch bilan egallash.
ishlov	1	1675	Kasb-hunar	Xomashyoga berilgan mehnat jarayoni.
ishonch	1	1214	Tuygʻu	Birovga yoki narsaga qatʼiy suyanish hissi.
ishora	1	2086	Til	Imo yoki belgi bilan bildirish.
ishqor	2	135	Ilm	Kislotani neytrallovchi kimyoviy modda.
ishrat	3	18	Tuygʻu	Ayshli, maishatli hayot kechirish.
isloh	1	721	Jamiyat	Tuzatish, yaxshilash uchun oʻzgartirish.
isrof	3	71	Savdo	Narsani behuda sarflash.
istak	2	135	Tuygʻu	Koʻngilning biror narsani tilashi.
isyon	1	681	Jamiyat	Hokimiyatga qarshi ochiq qoʻzgʻolon.
itoat	2	211	Tuygʻu	Buyruqqa soʻzsiz boʻysunish.
ixlos	2	91	Tuygʻu	Chin dildan berilgan sadoqat.
iymon	2	170	Din	Qalbdagi chuqur diniy eʼtiqod.
izdosh	3	19	Jamiyat	Birovning yoʻlini davom ettiruvchi kishi.
izhor	2	126	Til	Ichki tuygʻuni oshkor qilish.
izzat	2	177	Tuygʻu	Hurmat-eʼtibor koʻrsatish.
jabha	3	56	Jamiyat	Urush harakatlari boradigan old chiziq.
jadid	2	268	Tarix	Oʻtgan asr boshidagi maʼrifatparvarlik harakati vakili.
jahon	1	44933	Tabiat	Butun yer yuzi, olam.
jamoa	1	17949	Jamiyat	Birgalikda faoliyat yurituvchi kishilar uyushmasi.
janda	3	33	Kiyim	Yamoq bosilgan eski toʻn.
jangal	3	53	Tabiat	Qalin oʻsgan yovvoyi oʻrmonzor.
jangchi	1	680	Jamiyat	Urushda qatnashuvchi kurashchi.
janob	1	1172	Jamiyat	Erkaklarga hurmat bilan murojaat soʻzi.
jarchi	3	20	Tarix	Xabarni baland ovozda eʼlon qiluvchi kishi.
jasad	2	157	Jism	Jon uzilgan tana.
javob	1	4795	Til	Savolga qaytariladigan soʻz.
javon	3	49	Uy-roʻzgʻor	Narsalar teriladigan tokchali mebel.
jayra	2	82	Hayvonot	Tanasi uzun ignalar bilan qoplangan kemiruvchi.
jigar	1	1502	Jism	Qonni tozalovchi yirik ichki aʼzo.
jihat	2	104	Ilm	Narsaning bir tomoni, qirrasi.
jihod	2	169	Din	Eʼtiqod yoʻlidagi kurash tushunchasi.
jihoz	3	55	Uy-roʻzgʻor	Xonani butlovchi asbob-anjomlar.
jilgʻa	3	43	Tabiat	Togʻdan oqib tushuvchi kichik suvloq.
jilov	3	63	Asbob	Otni boshqaradigan yugan tasmasi.
jinni	2	87	Jism	Aqlini yoʻqotgan, telba kishi.
jirgʻa	3	31	Tarix	Oqsoqollarning maslahat yigʻini.
jirov	2	93	Sanʼat	Doston kuylovchi elat ijrochisi.
jiyak	3	45	Kiyim	Kiyim chetiga tutiladigan bezakli tasma.
jiyan	3	24	Oila	Aka-uka yoki opa-singilning farzandi.
jiyda	2	164	Oshxona	Kumushrang bargli daraxtning unli shirin mevasi.
jizya	2	80	Tarix	Qadimda boshqa dindagilardan olingan soliq.
jizza	3	17	Oshxona	Qovurilgan yogʻ qoldigʻidan taom.
jonon	3	42	Tuygʻu	Suyukli goʻzal yor.
josus	2	100	Jamiyat	Maxfiy maʼlumot toʻplovchi aygʻoqchi.
joʻyak	3	22	Tabiat	Ekin qatorlari orasidagi suv yoʻlagi.
jumla	2	132	Til	Tugallangan fikrni bildiruvchi gap.
kabob	2	170	Oshxona	Sixga terib choʻgʻda pishiriladigan goʻsht.
kafan	3	18	Din	Marhum oʻraladigan oq mato.
kafil	3	29	Savdo	Birovning majburiyatiga zomin boʻluvchi shaxs.
kakao	1	358	Oshxona	Shokolad olinadigan don va undan ichimlik.
kakku	3	39	Hayvonot	Oʻz nomini takrorlab sayrovchi qush.
kalit	1	590	Uy-roʻzgʻor	Qulfni ochish uchun buyum.
kalla	2	225	Jism	Bosh, miya joylashgan aʼzo.
kalom	2	268	Din	Soʻz, ilohiy nutq.
kamar	1	450	Kiyim	Belga taqiladigan tasma.
kamon	1	425	Asbob	Oʻq uzatadigan egik sopli qadimiy qurol.
kanal	1	1950	Tabiat	Suv oqizish uchun qazilgan sunʼiy oʻzan.
kanda	3	31	Tuygʻu	Odatni uzib qoʻyish, toʻxtatish.
kanop	2	245	Tabiat	Tolasi arqon boʻladigan ekin.
karam	1	579	Oshxona	Barglari zich oʻralgan sabzavot.
